what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387269344309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387269349467
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387269350264
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387269350435
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387269352092
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1387269353873
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1387269354201
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387269356998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387270538216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387271860502
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387271864675
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387271866503
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387271924503
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1387271927080
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387271988337
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387271988400
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387271988400
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1387271991730
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387271996633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387272896577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277434339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277438823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277444376
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1387277459109
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277460984
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277461015
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1387277461125
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1387277461172
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277463187
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277463219
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1387277520600
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277520928
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277521022
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1387277523232
started,bundle,com.android.ide.eclipse.ddms,22.2.1.v201309180102-833290,"com.android.ide.eclipse.ddms",1387277527701
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277529295
started,bundle,com.android.ide.eclipse.traceview,22.2.1.v201309180102-833290,"com.android.ide.eclipse.traceview",1387277532123
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1387277543646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277544381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277551251
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277552075
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387277631161
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277632303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277636081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277636835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277637950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277639199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277646212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277647291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277648443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387277651806
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277654401
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277656544
error,log,,,"No command output when running: 'am start -n com.example.tabsampleactivity/com.example.tabsampleactivity.MainClass -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1387277699975
error,log,,,"No command output when running: 'am start -n com.example.tabsampleactivity/com.example.tabsampleactivity.MainClass -a android.intent.action.MAIN -c android.intent.category.LAUNCHER' on device emulator-5554",1387277711715
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387277764582
